CCITT Huffman Code Tables
=========================
Reference: ITU-T T.4 / Lagom CCITTCommon.h

Format: run_length, code_length, code (binary)
640, 8, 01100111
704, 9, 011001100
768, 9, 011001101
832, 9, 011010010
896, 9, 011010011
960, 9, 011010100
1024, 9, 011010101
1088, 9, 011010110
1152, 9, 011010111
1216, 9, 011011000
1280, 9, 011011001
1344, 9, 011011010
1408, 9, 011011011
1472, 9, 010011000
1536, 9, 010011001
1600, 9, 010011010
1664, 6, 011000
1728, 9, 010011011


================================================================================
BLACK MAKE-UP CODES (Table 3a/T.4)
Run lengths 64, 128, 192, ... 1728
================================================================================

64, 10, 0000001111
128, 12, 000011001000
192, 12, 000011001001
256, 12, 000001011011
320, 12, 000000110011
384, 12, 000000110100
448, 12, 000000110101
512, 13, 0000001101100
576, 13, 0000001101101
640, 13, 0000001001010
704, 13, 0000001001011
768, 13, 0000001001100
832, 13, 0000001001101
896, 13, 0000001110010
960, 13, 0000001110011
1024, 13, 0000001110100
1088, 13, 0000001110101
1152, 13, 0000001110110
1216, 13, 0000001110111
1280, 13, 0000001010010
1344, 13, 0000001010011
1408, 13, 0000001010100
1472, 13, 0000001010101
1536, 13, 0000001011010
1600, 13, 0000001011011
1664, 13, 0000001100100
1728, 13, 0000001100101


================================================================================
COMMON MAKE-UP CODES (Table 3b/T.4)
Run lengths 1792-2560 (shared by white and black)
================================================================================

1792, 11, 00000001000
1856, 11, 00000001100
1920, 11, 00000001101
1984, 12, 000000010010
2048, 12, 000000010011
2112, 12, 000000010100
2176, 12, 000000010101
2240, 12, 000000010110
2304, 12, 000000010111
2368, 12, 000000011100
2432, 12, 000000011101
2496, 12, 000000011110
2560, 12, 000000011111


================================================================================
SPECIAL CODES
================================================================================

EOL (End of Line): 12, 000000000001
EOFB (End of Facsimile Block): Two consecutive EOLs


================================================================================
MODE CODES (Table 4/T.4) - For 2D encoding (Group 3 2D and Group 4)
================================================================================

Pass, 4, 0001
Horizontal, 3, 001
Vertical_0, 1, 1
Vertical_R1, 3, 011
Vertical_R2, 6, 000011
Vertical_R3, 7, 0000011
Vertical_L1, 3, 010
Vertical_L2, 6, 000010
Vertical_L3, 7, 0000010


================================================================================
SUMMARY
================================================================================

Max code lengths:
  - White terminating: 8 bits
  - White make-up: 9 bits
  - Black terminating: 12 bits
  - Black make-up: 13 bits
  - Common make-up: 12 bits
  - Mode codes: 7 bits
  - EOL: 12 bits

Decoding white runs:
  1. Try WHITE_TERMINATING (0-63) - always ends a run
  2. Try WHITE_MAKEUP (64-1728) - adds to run, continue reading
  3. Try COMMON_MAKEUP (1792-2560) - adds to run, continue reading
  4. Check for EOL

Decoding black runs:
  1. Try BLACK_TERMINATING (0-63) - always ends a run
  2. Try BLACK_MAKEUP (64-1728) - adds to run, continue reading
  3. Try COMMON_MAKEUP (1792-2560) - adds to run, continue reading
  4. Check for EOL
